District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture,Indirect Occupation - Excluding Agriculture - Total,Indirect Occupation  - Horticulture,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions","Indirect Occupation - Schooling, Education, and Culture",Indirect Occupation - Public Hygiene and Sanitation,Indirect Occupation - G. Domestic service,Indirect Occupation - N. Not further specified
AUGUSTOWSKI,74751.0,57492.0,17259.0,1408.0,8792.0,2070.0,1013.0,1281.0,524.0,292.0,543.0,1336.0
BIAŁOSTOCKI,140078.0,102254.0,37824.0,1659.0,20158.0,3583.0,4897.0,2133.0,749.0,749.0,589.0,3307.0
BIELSKI (BIELSK PODLASKI),202410.0,154358.0,48052.0,4019.0,24934.0,6658.0,3704.0,2377.0,1230.0,799.0,1148.0,3183.0
GRODZIEŃSKI,213105.0,135833.0,77272.0,2056.0,34106.0,12523.0,6438.0,5933.0,2130.0,1992.0,2524.0,9570.0
ŁOMŻYŃSKI,168167.0,116556.0,51611.0,871.0,24145.0,8426.0,2926.0,3542.0,1883.0,1105.0,1297.0,7416.0
OSTROŁĘCKI,112587.0,88787.0,23800.0,859.0,10262.0,3528.0,3340.0,1473.0,851.0,361.0,554.0,2572.0
OSTROWSKI (OSTRÓW MAZOWIECKA),99741.0,71613.0,28128.0,729.0,14243.0,4210.0,2013.0,1284.0,973.0,480.0,491.0,3705.0
SOKÓLSKI,103135.0,87461.0,15674.0,661.0,6947.0,2665.0,1352.0,1018.0,587.0,346.0,396.0,1702.0
SUWALSKI,110124.0,79337.0,30787.0,1082.0,13019.0,4482.0,1433.0,3427.0,972.0,643.0,1105.0,4624.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),68215.0,49483.0,18732.0,451.0,9901.0,2651.0,1197.0,1530.0,540.0,308.0,486.0,1668.0
WOŁKOWYSKI,171327.0,139024.0,32303.0,1266.0,13163.0,4689.0,5660.0,1890.0,1027.0,629.0,1142.0,2837.0
WYSOKOMAZOWIECKI,89103.0,65095.0,24008.0,304.0,9789.0,3532.0,5680.0,1250.0,681.0,397.0,509.0,1866.0
BIAŁYSTOK (MIASTO),91101.0,1982.0,89119.0,362.0,42899.0,14887.0,8516.0,5636.0,2278.0,2443.0,2724.0,9374.0
BĘDZIŃSKI,231310.0,20389.0,210921.0,442.0,155899.0,20004.0,11002.0,4784.0,2759.0,2795.0,4864.0,8372.0
CZĘSTOCHOWSKI,182466.0,126371.0,56095.0,1789.0,40197.0,4709.0,3013.0,1778.0,1060.0,449.0,906.0,2194.0
IŁŻECKI,159718.0,115074.0,44644.0,1356.0,28973.0,5498.0,2945.0,1647.0,957.0,547.0,1014.0,1707.0
JĘDRZEJOWSKI,109764.27140191616,83470.10506883,26294.16633308616,765.5556714827655,11684.53386143567,5778.7278300744265,2903.2258843382665,1362.6928302294943,792.1444846442464,484.3173437954543,939.829524434669,1583.138902651165
KIELECKI,219297.0,122555.0,96742.0,2492.0,49545.0,14791.0,9473.0,6007.0,2220.0,1497.0,3153.0,7564.0
KONECKI,179174.0,100487.0,78687.0,2405.0,46493.0,9700.0,9872.0,2348.0,1474.0,1024.0,1743.0,3628.0
KOZIENICKI,143107.0,101936.0,41171.0,1989.0,23770.0,6251.0,2716.0,1529.0,985.0,548.0,807.0,2576.0
MIECHOWSKI,153342.72859808384,121937.89493117,31404.833666913844,816.4443285172346,15509.46613856433,6691.2721699255735,2020.7741156617333,1705.3071697705057,1138.8555153557536,537.6826562045457,1224.170475565331,1760.861097348835
OLKUSKI,151729.0,97301.0,54428.0,650.0,36802.0,7309.0,2306.0,1867.0,1013.0,728.0,1164.0,2589.0
OPATOWSKI,186547.0,111154.0,75393.0,1576.0,47731.0,11958.0,3586.0,2756.0,1640.0,908.0,1836.0,3402.0
