year,District,weighted_distance_to_center_km,weighted_distance_to_center_miles
1924,AUGUSTOWSKI,359.5999355360629,223.44497154397894
1924,BARANOWICKI,336.1849187539936,208.89555915108775
1924,BIALSKI (BIAŁA KRAKOWSKA),343.77631689511594,213.61263380543508
1924,BIALSKI (BIAŁA PODLASKA),96.73805746639523,60.110223505951474
1924,BIAŁOSTOCKI,221.29158862606243,137.50417571616504
1924,BIELSKI (BIELSK PODLASKI),182.25521420238508,113.24810470415022
1924,BIELSKO,347.7462218385567,216.07941761004582
1924,BIŁGORAJSKI,225.94459035058048,140.39541605073055
1924,BOCHEŃSKI,328.754149208624,204.27829444791192
1924,BORSZCZOWSKI,565.634336507847,351.46877331021744
1924,BRASŁAWSKI,613.7556732294706,381.3699764302694
1924,BRODNICKI,310.4810153465969,192.92389898693025
1924,BRODZKI,406.5670809688621,252.62899366870283
1924,BRZESKI (BRZESKO),306.65343038086166,190.5455486891864
1924,BRZESKI (BRZEŚĆ N.BUG.),131.63063820296458,81.7914612908143
1924,BRZEZIŃSKI,220.24251644363864,136.85231268510017
1924,BRZEŻAŃSKI,415.2614434178826,258.0314183580131
1924,BRZOZOWSKI,285.8898531574818,177.64366394631764
1924,BUCZACKI,501.21112444260683,311.43805760602703
1924,BYDGOSKI,416.12395199467164,258.5673561748811
1924,BÓBRECKI,387.2545950394337,240.62877497424796
1924,BĘDZIŃSKI,302.8994715382793,188.21294752921213
1924,BŁOŃSKI,252.92820417416897,157.16225115590754
1924,CHEŁMIŃSKI,401.54204119364124,249.50657967853405
1924,CHEŁMSKI,160.3510370288463,99.63748422965125
1924,CHODZIESKI,482.0258449508298,299.51688130294207
1924,CHOJNICKI,454.3682357437328,282.33124501231896
1924,CHORZÓW,298.8539300774635,185.69916538616357
1924,CHRZANOWSKI,295.4905357736116,183.60924970418483
1924,CIECHANOWSKI,210.4786497550978,130.78532907697488
1924,CIESZYŃSKI,372.3531805299968,231.36946813910464
1924,CZARNKOWSKI,500.45171524799224,310.9661827553602
1924,CZORTKOWSKI,519.3565595747684,322.7131047795334
1924,CZĘSTOCHOWSKI,266.1096456852128,165.35281664906637
1924,DOBROMILSKI,332.593777210559,206.66412793910226
1924,DOLIŃSKI,432.49169158899866,268.7377948943477
1924,DROHICKI,240.11782672916374,149.2022541125272
1924,DROHOBYCKI,369.1900636231603,229.40399902358675
1924,DUBIEŃSKI,433.67291312838455,269.47177170349744
1924,DZIAŁDOWSKI,272.44666111838404,169.29045426579142
1924,DZIŚNIEŃSKI,594.5374817155275,369.42834955105906
1924,DĄBROWSKI,309.83124106850914,192.5201480939806
1924,GARWOLIŃSKI,81.83568797878856,50.85032327506782
1924,GNIEŹNIEŃSKI,389.0847483095257,241.7659791418383
1924,GORLICKI,338.7363406775364,210.48093874314148
1924,GOSTYNIŃSKI,280.32742538288835,174.1873326375907
1924,GOSTYŃSKI,445.84515526100927,277.0352499696886
1924,GRODZIEŃSKI,305.3063396068286,189.7085055478347
1924,GRUDZIĄDZKI,356.1614063374841,221.30836921732885
1924,GRÓDECKI,348.19645403385863,216.35917883947278
1924,GRÓJECKI,178.45768735389396,110.88843164877645
1924,HOROCHOWSKI,419.8603782583105,260.88906309874466
1924,HORODEŃSKI,540.8256788891115,336.0533929170061
1924,HRUBIESZOWSKI,238.84378304792182,148.41060031627023
1924,INOWROCŁAWSKI,398.41592780314056,247.56410347496526
1924,IWACEWICKI,270.928187096353,168.34691854424796
1924,IŁŻECKI,173.66676386607682,107.91149073022802
1924,JANOWSKI,136.90750907267673,85.07035581999821
1924,JAROCIŃSKI,421.4670701770849,261.8874148630054
1924,JAROSŁAWSKI,255.50661241069193,158.76439926024406
1924,JASIELSKI,327.56386670523375,203.5386874184978
1924,JAWOROWSKI,371.5926559783034,230.89690023789439
1924,JĘDRZEJOWSKI,184.31642404916985,114.52888072785672
1924,KALISKI,380.3771032750252,236.35530103910568
1924,KAMIONECKI,363.80157734137157,226.05574991418538
1924,KARTUSKI,520.9665182949642,323.7134864394602
1924,KATOWICE,301.6099656593033,187.41168597168698
1924,KAŁUSKI,444.2384297414075,276.0368773268481
1924,KIELECKI,153.33832448531902,95.27998802376716
1924,KOBRYŃSKI,192.05795358266084,119.33924267561156
1924,KOLBUSZOWSKI,258.27827323674484,160.48662891938937
1924,KOLSKI,300.58313736662257,186.77364464863564
1924,KONECKI,152.85974618708212,94.9826133480134
1924,KONIŃSKI,335.3390096780243,208.36993578264364
1924,KOPYCZYNIECKI,506.6159846443365,314.796480994436
1924,KOSOWSKI (KOSÓW HUCULSKI),537.9102263302864,334.2418152450764
1924,KOSTOPOLSKI,415.81581483607016,258.37588868050375
1924,KOSZYRSKI,336.4153122906548,209.03871901335648
1924,KOWELSKI,254.51033968032084,158.14534427750064
1924,KOZIENICKI,54.80775917048178,34.055952123521436
1924,KOŁOMYJSKI,492.8866737918747,306.265485380731
1924,KOŚCIAŃSKI,460.6718663811493,286.2481382851211
1924,KOŚCIERSKI,493.36434997304315,306.5622995070998
1924,KRAKOWSKI,335.38475545169166,208.3983608797731
1924,KRAKÓW (MIASTO),335.0634532040791,208.19871298087185
1924,KRASNOSTAWSKI,169.97268988832013,105.61610028859538
1924,KROTOSZYŃSKI,421.3303500564404,261.8024609449204
1924,KROŚNIEŃSKI,347.28730312684206,215.79425883122897
1924,KRZEMIENIECKI,466.718544772084,290.0053688835746
1924,KUTNOWSKI,249.89198162628503,155.27563051510637
1924,KĘPIŃSKI,422.59313407052423,262.5871183105357
1924,LESKI,414.6004811237719,257.62071555635924
1924,LESZCZYŃSKI,468.587741394616,291.16683345811396
1924,LIDZKI,361.7883450414002,224.8047857467199
1924,LIMANOWSKI,378.4717537733154,235.17137211387876
1924,LIPNOWSKI,291.7983827098413,181.3150528627968
1924,LUBACZOWSKI,308.40815099394143,191.63588119125637
1924,LUBARTOWSKI,115.28750143238939,71.63631005254523
1924,LUBAWSKI,307.2103639842078,190.89161107923118
1924,LUBELSKI,92.69322331204907,57.596880862631245
1924,LUBLINIECKI,355.4607757335708,220.87301767834464
1924,LUBOMELSKI,210.86757835828624,131.02699803206667
1924,LWOWSKI,327.1465580759301,203.27938393819878
1924,LWÓW (MIASTO),319.2512676314649,198.37347941943096
1924,M. ST. WARSZAWA,129.611805812903,80.53701738976935
1924,MAKOWSKI (MAKÓW MAZOWIECKI),310.9669170881248,193.22582423796518
1924,MIECHOWSKI,240.93980564390864,149.71300797276115
1924,MIELECKI,231.15559458968784,143.6333829657889
1924,MIĘDZYCHODZKI,498.9678524686974,310.04415345632697
1924,MIŃSKI,104.30898466034549,64.81457810738354
1924,MOGILEŃSKI,417.46712517946304,259.4019650398881
1924,MORSKI,578.8291198973562,359.66762905974014
1924,MOŁODECZAŃSKI,475.869149432036,295.6912892517337
1924,MOŚCISKI,311.36442494282926,193.47282409115076
1924,MYŚLENICKI,387.26118972076597,240.63287271798208
1924,MŁAWSKI,249.39776283209667,154.96853728874274
1924,NADWÓRNIAŃSKI,495.93097788193813,308.15712765747776
1924,NIESZAWSKI,323.49558206765795,201.01077332496268
1924,NIEŚWIESKI,378.84748734669745,235.40484206010476
1924,NIŻAŃSKI,183.3451921347968,113.92538538199082
1924,NOWOGRÓDZKI,392.91110011940634,244.14356319229563
1924,NOWOSĄDECKI,352.2906037627567,218.90316475066788
1924,NOWOTARSKI,391.88666566721747,243.5070093323046
1924,NOWOTOMYSKI,481.36936475814394,299.1089635491327
1924,OBORNICKI,449.94166744436683,279.58070384157367
1924,OLKUSKI,257.84714204967014,160.2187365025456
1924,OPATOWSKI,172.9116757185491,107.44230085291058
1924,OPOCZYŃSKI,171.3623079495504,106.47956865292008
1924,OSTROWSKI (OSTRÓW MAZOWIECKA),148.5212837246095,92.28681858924433
